scorer,lms,lms,lms,lms,lms,lms,lms,lms,lms,lms
bodyparts,snout,snout,mandible,mandible,back,back,abdomen,abdomen,tailbase,tailbase
coords,x,y,x,y,x,y,x,y,x,y
labeled-data/nicotine_101921_shrew1/img01380.png,680.8598619213744,408.739482864765,627.8564319427751,408.07693999003254,413.19254052944814,260.99242179941956,364.1643677992437,396.81371111958015,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01381.png,683.5100334203044,407.41439711530006,635.806946439565,408.07693999003254,413.19254052944814,260.99242179941956,360.1891105508488,400.12642549324266,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01382.png,686.1602049192343,406.08931136583504,639.1196608132274,407.41439711530006,413.19254052944814,260.99242179941956,358.86402480138383,402.7765969921726,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01383.png,689.4729192928967,403.43913986690507,641.1072894374248,406.7518542405675,413.19254052944814,260.99242179941956,359.5265676761163,404.7642256163701,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01384.png,689.4729192928967,403.43913986690507,639.7822036879598,407.4143971153,412.52999765471566,262.3175075488846,359.5265676761163,404.7642256163701,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01385.png,684.1725762950367,406.08931136583504,639.7822036879598,407.4143971153,411.8674547799832,259.6673360499546,361.51419630031376,402.1140541174401,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01386.png,680.1973190466418,407.41439711530006,631.1691463164375,407.4143971153,409.87982615578574,256.35462167629214,362.17673917504624,397.4762539943127,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01387.png,677.5471475477118,408.0769399900326,627.8564319427749,406.7518542405675,410.54236903051833,254.3669930520947,362.17673917504624,392.83845387118527,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01388.png,677.5471475477118,408.0769399900326,627.8564319427749,406.7518542405675,410.54236903051833,254.3669930520947,361.51419630031376,388.86319662279027,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01389.png,682.1849476708392,405.4267684911026,627.8564319427749,406.7518542405675,411.2049119052508,258.3422503004897,361.51419630031376,388.86319662279027,245.56919322212784,404.76422561637
labeled-data/nicotine_101921_shrew1/img01415.png,688.1478335434316,398.1387968690452,635.8069464395647,395.48862537011513,399.27914016006594,239.12850693324748,373.43996804549863,376.27488200287297,259.4825935915102,398.1387968690451
labeled-data/nicotine_101921_shrew1/img01416.png,692.7856336665591,394.8260824953828,639.1196608132271,394.82608249538265,403.9169402831933,238.46596405851494,378.077768168626,376.27488200287297,259.4825935915102,398.1387968690451
labeled-data/nicotine_101921_shrew1/img01417.png,703.3863196622789,386.87556799859294,647.070175310017,392.83845387118515,405.90456890739085,239.7910498079799,376.75268241916103,380.2501392512679,259.4825935915102,398.1387968690451
labeled-data/nicotine_101921_shrew1/img01418.png,704.711405411744,381.575225000733,651.045432558412,390.85082524698765,403.2543974084608,247.07902143003736,372.11488229603356,386.8755679985928,254.8447934683827,401.45151124270757
labeled-data/nicotine_101921_shrew1/img01419.png,708.0241197854064,385.5504822491279,657.670861305737,392.17591099645267,409.21728328105314,255.02953592682724,371.4523394213011,391.51336812172025,254.8447934683827,401.45151124270757
labeled-data/nicotine_101921_shrew1/img01420.png,708.0241197854064,385.5504822491279,657.0083184310045,395.48862537011513,409.8798261557856,258.3422503004897,374.7650537949636,394.8260824953827,250.20699334525528,402.77659699217253
labeled-data/nicotine_101921_shrew1/img01421.png,706.0364911612089,392.8384538711853,655.0206898068069,399.4638826185101,409.21728328105314,259.0047931752222,373.43996804549863,388.20065374805785,249.54445047052275,403.439139866905
labeled-data/nicotine_101921_shrew1/img01422.png,702.0612339128139,395.48862537011524,647.7327181847495,401.45151124270757,409.21728328105314,253.04190730262974,379.40285391809095,378.9250535018029,254.1822505936502,398.8013397437776
labeled-data/nicotine_101921_shrew1/img01423.png,690.7980050423616,400.1264254932427,643.094918061622,401.45151124270757,401.92931165899574,245.75393568057234,373.4399680454985,377.5999677523379,258.1575078420451,400.12642549324255
labeled-data/nicotine_101921_shrew1/img01424.png,686.1602049192343,401.4515112427077,635.8069464395646,398.8013397437776,396.6289686611358,237.14087830904998,375.4275966696961,374.2872533786755,264.12039371463754,400.788968367975
labeled-data/nicotine_101921_shrew1/img01425.png,688.8103764181642,399.4638826185102,635.1444035648321,394.82608249538265,391.9911685380083,231.17799243645754,376.75268241916103,370.31199613028053,267.43310808830006,394.8260824953826
labeled-data/nicotine_101921_shrew1/img01426.png,,,,,395.3038829116708,229.85290668699253,374.102510920231,364.34911025768815,266.1080223388351,393.5009967459176
labeled-data/nicotine_101921_shrew1/img01427.png,704.7114054117441,378.2625106270704,649.0578039342148,383.5628536249303,397.95405441060075,233.16562106065493,373.4399680454984,369.6494532555481,258.1575078420451,393.5009967459175
labeled-data/nicotine_101921_shrew1/img01428.png,710.0117484096039,376.9374248776054,658.3334041804698,384.22539649966274,398.6165972853332,243.1037641816423,373.4399680454984,379.5875963765355,252.19462196945273,394.16353962065
labeled-data/nicotine_101921_shrew1/img01429.png,710.6742912843364,371.6370818797455,661.6461185541322,384.22539649966274,396.6289686611358,251.71682155316466,363.5018249245111,394.8260824953828,248.88190759579027,402.77659699217236
labeled-data/nicotine_101921_shrew1/img01430.png,710.0117484096039,368.9869103808154,660.3210328046672,384.8879393743953,392.6537114127408,259.6673360499546,367.4770821729061,397.4762539943128,248.88190759579027,402.77659699217236
labeled-data/nicotine_101921_shrew1/img01431.png,705.3739482864764,372.2996247544779,656.3457755562722,388.2006537480577,395.3038829116708,259.0047931752221,365.48945354870864,389.5257394975229,248.88190759579027,402.77659699217236
labeled-data/nicotine_101921_shrew1/img01432.png,703.386319662279,377.5999677523379,649.7203468089473,388.86319662279016,392.6537114127408,251.71682155316472,362.8392820497787,384.8879393743955,248.88190759579027,402.77659699217236
labeled-data/nicotine_101921_shrew1/img01433.png,690.135462167629,382.9003107501977,639.1196608132275,388.2006537480577,386.0282826654159,247.74156430476978,365.48945354870875,376.93742487760557,248.88190759579027,402.77659699217236
labeled-data/nicotine_101921_shrew1/img01434.png,689.4729192928966,392.1759109964526,627.1938890680425,390.1882823722551,377.4152252938935,238.46596405851494,366.8145392981738,369.6494532555482,261.4702222157076,396.8137111195799
labeled-data/nicotine_101921_shrew1/img01435.png,680.1973190466417,390.1882823722551,620.5684603207176,390.1882823722551,372.77742517076604,232.5030781859225,368.8021679223714,366.3367388818858,261.4702222157076,396.8137111195799
labeled-data/nicotine_101921_shrew1/img01436.png,682.8474905455716,384.2253964996627,620.5684603207176,390.1882823722551,372.77742517076604,232.5030781859225,368.8021679223714,362.3614816334908,261.4702222157076,396.8137111195799
labeled-data/nicotine_101921_shrew1/img01437.png,681.5224047961066,377.59996775233776,620.5684603207176,382.9003107501977,371.4523394213011,229.19036381226005,366.15199642344135,364.3491102576883,260.14513646624266,400.78896836797486
labeled-data/nicotine_101921_shrew1/img01438.png,684.1725762950365,364.3491102576879,626.53134619331,381.57522500073276,374.102510920231,233.16562106065498,365.48945354870887,368.98691038081574,248.21936472105793,400.1264254932423
labeled-data/nicotine_101921_shrew1/img01439.png,695.4358051654888,363.02402450822296,633.1567749406349,379.5875963765353,374.102510920231,241.77867843217734,351.57605317932655,378.26251062707064,241.593935973733,401.4515112427073
labeled-data/nicotine_101921_shrew1/img01440.png,694.1107194160238,366.3367388818854,633.1567749406349,379.5875963765353,369.4647107971035,248.4041071795022,352.23859605405903,390.850825246988,241.593935973733,401.4515112427073
labeled-data/nicotine_101921_shrew1/img01441.png,687.4852906686989,368.98691038081546,630.506603441705,381.57522500073276,374.102510920231,249.06665005423469,352.23859605405903,390.850825246988,238.9437644748031,405.4267684911022
labeled-data/nicotine_101921_shrew1/img01442.png,683.5100334203039,374.28725337867536,627.1938890680425,386.2130251238602,374.7650537949635,250.39173580369965,355.55131042772143,384.8879393743956,238.9437644748031,405.4267684911022
labeled-data/nicotine_101921_shrew1/img01443.png,679.5347761719089,384.22539649966274,621.8935460701827,392.1759109964526,374.7650537949635,249.72919292896717,353.563681803524,379.5875963765357,238.9437644748031,405.4267684911022
labeled-data/nicotine_101921_shrew1/img01444.png,678.8722332971764,388.86319662279016,616.5932030723228,394.8260824953826,372.77742517076604,245.09139280583975,352.23859605405903,374.2872533786758,243.5815645979305,401.4515112427073
labeled-data/nicotine_101921_shrew1/img01480.png,673.5718902993166,380.2501392512678,589.4289452082907,386.8755679985927,346.93825305619885,225.87764943859753,351.57605317932644,363.6865673829559,243.5815645979305,401.4515112427073
labeled-data/nicotine_101921_shrew1/img01481.png,674.2344331740491,370.9745390050129,590.7540309577556,386.2130251238602,352.2385960540588,229.85290668699247,351.57605317932644,363.6865673829559,243.5815645979305,401.4515112427073
labeled-data/nicotine_101921_shrew1/img01482.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01483.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01484.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01485.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01486.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01487.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01488.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01489.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01490.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01491.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01492.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01493.png,,,,,,,,,,
labeled-data/nicotine_101921_shrew1/img01494.png,,,,,,,,,,
